Date,Open,High,Low,Close,Volume
2024-07-29,109.00,109.47,107.35,107.66,7343800
2024-07-30,108.06,108.17,104.15,104.96,10694600
2024-07-31,108.19,109.79,107.43,109.40,14614000
2024-08-01,109.10,110.36,104.20,105.32,16991400
2024-08-02,102.52,103.36,100.62,102.36,18621600
2024-08-05,95.96,100.86,95.38,98.95,31430000
2024-08-06,100.21,102.32,99.15,100.29,24575800
2024-08-07,102.72,103.22,98.54,98.67,17653600
2024-08-08,100.46,102.61,99.00,102.36,14477200
2024-08-09,102.29,103.40,101.68,102.82,9535600
2024-08-12,103.14,104.46,102.65,103.65,8580200
2024-08-13,104.94,106.88,104.81,106.84,9999600
2024-08-14,107.50,107.97,105.98,107.43,8922400
2024-08-15,108.82,110.62,108.58,110.51,9518800
2024-08-16,109.93,110.92,109.63,110.70,6706400
2024-08-19,110.44,112.53,109.99,112.53,13004200
2024-08-20,112.23,112.90,111.47,112.13,7221600
2024-08-21,112.20,113.18,111.85,112.79,7538800
2024-08-22,113.42,113.68,109.96,110.19,9083600
2024-08-23,111.29,112.47,110.55,111.98,10681000
2024-08-26,111.88,112.30,110.01,110.57,6268800
2024-08-27,109.89,111.48,109.35,111.25,7656000
2024-08-28,111.10,111.32,108.79,109.71,9002200
2024-08-29,109.74,111.29,108.44,108.72,13314800
2024-08-30,109.90,110.59,108.72,110.17,10048400
2024-09-03,109.00,109.08,104.50,105.11,14765800
2024-09-04,104.04,106.03,103.71,104.83,12330000
2024-09-05,104.08,105.97,103.99,104.68,8874800
2024-09-06,104.59,104.84,101.49,101.96,12441000
2024-09-09,103.22,103.75,102.27,103.63,10922000
2024-09-10,104.35,105.40,103.35,105.18,10123000
2024-09-11,105.54,108.93,103.87,108.77,12768800
2024-09-12,108.69,110.14,107.93,109.67,10604200
2024-09-13,109.81,110.50,109.36,110.22,8047400
2024-09-16,109.43,110.15,108.79,109.80,6897800
2024-09-17,110.90,111.07,109.03,109.58,6990000
2024-09-18,109.86,110.63,108.48,108.58,12741600
2024-09-19,111.64,112.50,111.03,111.81,13934000
2024-09-20,111.37,111.76,110.27,111.26,14492800
2024-09-23,111.17,111.31,110.71,111.04,7490600
2024-09-24,111.51,112.03,110.31,111.81,7025800
2024-09-25,111.58,112.61,111.54,112.12,6111600
2024-09-26,114.32,114.44,112.42,113.61,9244800
2024-09-27,113.77,113.81,112.13,112.55,6093800
2024-09-30,112.06,112.95,111.50,112.88,5500400
2024-10-01,112.54,112.61,109.47,110.13,11295400
2024-10-02,110.15,111.45,109.53,110.94,4532400
2024-10-03,110.62,112.22,110.61,111.40,5784800
2024-10-04,112.85,112.93,111.46,112.64,5009200
2024-10-07,112.14,112.89,111.59,111.87,4430400
2024-10-08,112.68,114.15,112.42,113.96,7864800
2024-10-09,114.05,115.39,113.69,115.24,7579800
2024-10-10,114.46,115.50,114.14,115.21,5692200
2024-10-11,114.93,115.67,114.76,115.40,8849000
2024-10-14,116.14,117.15,116.08,116.91,9810200
2024-10-15,117.00,117.29,113.92,114.34,14179400
2024-10-16,114.70,114.87,113.46,114.69,5758800
2024-10-17,116.29,116.36,115.04,115.04,6051200
2024-10-18,115.64,115.88,115.21,115.46,4537000
2024-10-21,115.10,116.01,114.89,116.00,6322400
2024-10-22,115.38,116.27,115.05,115.88,6169200
2024-10-23,115.44,115.62,113.24,114.21,6083600
2024-10-24,114.68,114.83,113.87,114.55,4832800
2024-10-25,115.20,116.44,114.98,115.14,8314800
2024-10-28,115.97,115.97,115.08,115.11,5899200
2024-10-29,115.33,117.00,114.90,116.66,7451600
2024-10-30,115.60,115.90,114.73,114.81,8341200
2024-10-31,113.54,113.54,111.08,111.12,12110200
2024-11-01,111.24,112.79,111.09,111.96,11565800
2024-11-04,112.06,112.68,111.39,111.87,6311800
2024-11-05,112.21,113.54,112.21,113.44,7273000
2024-11-06,115.64,116.89,115.29,116.68,10967800
2024-11-07,117.49,118.85,117.43,118.71,10463000
2024-11-08,118.56,118.97,118.15,118.58,7236400
2024-11-11,118.57,118.64,117.22,117.93,7267200
2024-11-12,117.85,118.22,117.14,118.07,7530800
2024-11-13,117.82,118.54,117.30,117.67,6329600
2024-11-14,117.86,118.06,117.07,117.26,6602000
2024-11-15,115.82,115.96,113.97,114.36,11229800
2024-11-18,114.36,115.21,113.86,114.72,6166800
2024-11-19,114.00,115.76,114.00,115.67,6906800
2024-11-20,115.76,115.81,114.03,115.57,8874400
2024-11-21,116.68,117.29,114.90,116.74,10591800
2024-11-22,116.53,117.07,116.11,116.80,7090800
2024-11-25,117.68,117.89,116.26,116.79,11137200
2024-11-26,117.32,117.75,116.88,117.38,6229400
2024-11-27,116.58,116.65,114.76,115.79,6369400
2024-11-29,116.06,117.11,115.94,116.86,4168400
2024-12-02,116.95,118.42,116.92,117.97,9398200
2024-12-03,117.47,118.43,117.25,118.40,5576000
2024-12-04,119.88,120.62,119.53,120.57,10840000
2024-12-05,120.38,120.51,119.79,119.96,5638000
2024-12-06,120.17,120.94,120.04,120.42,6654200
2024-12-09,119.97,120.40,119.33,119.64,8032400
2024-12-10,119.23,119.56,117.60,117.97,11234400
2024-12-11,118.91,120.07,118.50,119.68,8689600
2024-12-12,118.92,119.46,118.63,119.01,7218200
2024-12-13,120.09,120.56,118.57,119.53,8677000
2024-12-16,119.68,120.82,119.43,120.72,9442600
2024-12-17,119.86,120.46,119.40,119.99,8145000
2024-12-18,120.39,120.72,115.85,116.12,16927200
2024-12-19,117.30,117.68,116.10,116.25,13383400
2024-12-20,115.46,118.93,115.10,117.98,14924800
2024-12-23,118.12,119.08,117.50,119.04,7973400
2024-12-24,119.46,120.27,119.28,120.26,4653400
2024-12-26,119.88,120.79,119.50,120.35,7150800
2024-12-27,119.54,119.69,117.57,118.75,8726400
2024-12-30,117.01,118.17,116.29,117.24,7950400
2024-12-31,117.56,117.64,115.88,116.26,9381200
2025-01-02,117.18,117.51,114.89,115.99,12766600
2025-01-03,116.69,118.00,116.46,117.88,9117600
2025-01-06,119.22,120.53,118.90,119.38,8975400
2025-01-07,120.00,120.00,116.57,116.98,10006800
2025-01-08,117.25,117.27,115.82,116.94,10023800
2025-01-10,115.71,115.73,113.71,114.39,11665800
2025-01-13,112.55,113.66,112.22,113.58,10656000
2025-01-14,114.46,114.78,112.97,113.88,7220200
2025-01-15,115.43,116.49,115.06,116.14,10465400
2025-01-16,117.09,117.17,115.22,115.25,5368400
2025-01-17,117.33,117.47,116.54,117.06,6742600
2025-01-21,117.44,118.32,116.63,118.03,6744200
2025-01-22,119.62,120.97,119.46,120.69,10243800
2025-01-23,119.76,120.93,119.65,120.91,7604400
2025-01-24,121.29,121.29,119.26,119.65,6607600
2025-01-27,114.29,115.49,112.74,113.79,20705600
2025-01-28,114.56,117.08,113.35,116.82,11260600
2025-01-29,116.59,116.64,114.75,115.87,9050000
2025-01-30,115.67,116.49,114.87,116.08,8840200
2025-01-31,117.17,117.86,115.10,115.40,10741800
2025-02-03,112.85,114.54,112.25,113.85,13752800
2025-02-04,114.24,115.67,114.20,115.49,8371200
2025-02-05,115.60,117.12,115.23,117.10,5398000
2025-02-06,117.10,117.65,116.57,117.42,6808000
2025-02-07,117.89,118.46,116.02,116.41,8552800
2025-02-10,117.33,118.40,117.29,118.11,6054200
2025-02-11,117.46,118.64,117.38,118.17,6456200
